Unit_Type,Operation_Type,Base_Location,Morale_Score,Supply_Level,Communication_Quality,Command_Structure,Intel_Availability,Equipment_Readiness,Training_Level,Casualty_Count,Engagement_Frequency,Resilience_Index,Success_Rate,Mission_Outcome
Infantry,Reconnaissance,Mountainous,8.36153142677638,Medium,6.894028619587753,Hierarchical,Limited,Fair,Advanced,15,Occasionally,6.1822856646767725,79.38272489356092,Ongoing
Naval,Support,Coastal,4.9955075964857585,Low,8.074431196084875,Decentralized,Extensive,Excellent,Basic,1,Rarely,4.195634092480498,63.683246773912295,Ongoing
Armored,Reconnaissance,Coastal,3.3639956305165075,Medium,5.961709375816076,Hierarchical,Extensive,Fair,Intermediate,15,Occasionally,4.539635957264362,61.7603412150382,Ongoing
Infantry,Support,Rural,5.2460373470535115,Low,9.639878471654484,Hierarchical,Minimal,Fair,Basic,34,Occasionally,4.972443048831524,68.86580844665392,Ongoing
Infantry,Support,Urban,3.8989320635985973,Medium,6.09577644297307,Decentralized,Limited,Good,Advanced,27,Rarely,7.152741875016487,57.66614838660323,Ongoing
Naval,Reconnaissance,Coastal,3.7665397800871965,Low,7.627665075459257,Hierarchical,Extensive,Good,Basic,12,Rarely,2.441767097030093,54.33976192796998,Ongoing
Armored,Training,Rural,5.866368134543086,Medium,6.913936342525463,Decentralized,Minimal,Good,Basic,5,Occasionally,3.949455547192136,44.79459502331491,Ongoing
Armored,Support,Mountainous,1.7925410499402092,Medium,5.834945507963338,Hierarchical,Extensive,Excellent,Intermediate,24,Rarely,5.414467554106292,47.428146930384884,Ongoing
Infantry,Reconnaissance,Mountainous,2.1121421550155457,Medium,3.5905815880901155,Flat,Limited,Excellent,Intermediate,38,Frequently,0.7917322820921076,70.61540863611908,Ongoing
Aviation,Combat,Mountainous,5.038581760747886,Low,8.772340229906419,Hierarchical,Limited,Good,Intermediate,25,Rarely,4.8369629720321425,76.00621212563463,Ongoing
Infantry,Reconnaissance,Mountainous,4.955382922175137,High,6.929100906452943,Decentralized,Minimal,Good,Intermediate,43,Rarely,4.3547245125463485,68.33474598451657,Ongoing
Infantry,Combat,Rural,5.687109154079872,Low,10.663455990371588,Flat,Extensive,Fair,Advanced,45,Frequently,4.346163363252115,57.69616852098386,Ongoing
